"time";"h_canopy";"ph_count";"segment_id";"landcover";"h_max_canopy";"h_te_median";"canopy_h_metrics";"extent_id";"cycle";"gt";"canopy_openness";"x_atc";"spot";"veg_ph_count";"h_min_canopy";"solar_elevation";"snowcover";"h_mean_canopy";"rgt";"gnd_ph_count";"class";"vv";"vh";"b2";"b3";"b4";"b8";"b11";"b12";"X";"Y";"rh10";"rh15";"rh20";"rh25";"rh30";"rh35";"rh40";"rh45";"rh50";"rh55";"rh60";"rh65";"rh70";"rh75";"rh80";"rh85";"rh90";"rh95";"rh98";"rh99"
"21";2019-12-07 12:41:02.266;9.0870991;85;67753;40;9.7570181;-19.724291;"[1.5431881 1.5431881 1.5431881 2.5631714 2.5631714 3.6113625 3.6113625
 3.6113625 4.429714  5.5521708 5.5521708 6.532667  6.532667  6.532667
 7.525693  7.525693  7.525693  8.596818  9.087099  9.087099 ]";4926938343456901120;5;60;2.5987916;1358685.1;1;76;0.61265755;-27.588257;1;4.7745609;1094;9;1;-8.88137626647949;-13.9383039474487;0.0895000025629997;0.0832000002264977;0.047749999910593;0.239199995994568;0.097350001335144;0.0366499982774258;102.625200714309;12.2144837478725;"1.5431881";"1.5431881";"1.5431881";"2.5631714";"2.5631714";"3.6113625";"3.6113625";"3.6113625";"4.429714";"5.5521708";"5.5521708";"6.532667";"6.532667";"6.532667";"7.525693";"7.525693";"7.525693";"8.596818";"9.087099";"9.087099"
"22";2019-12-07 12:41:02.263;10.58572;66;67752;40;11.124693;-19.629957;"[ 1.5431881  1.5431881  2.4997692  2.4997692  3.58144    3.58144
  4.429714   4.429714   5.127857   6.478689   7.5747347  7.5747347
  7.5747347  7.5747347  8.596818   8.596818   8.596818   9.508164
 10.58572   10.58572  ]";4926938343456901120;5;60;2.9018867;1358665;1;60;0.61265755;-27.588203;1;5.6084805;1094;6;1;-8.05798053741455;-13.333477973938;0.0888999998569489;0.0826999992132187;0.0469500012695789;0.233999997377396;0.0954999998211861;0.0362000018358231;102.625219141058;12.2143031529665;"1.5431881";"1.5431881";"2.4997692";"2.4997692";"3.58144";"3.58144";"4.429714";"4.429714";"5.127857";"6.478689";"7.5747347";"7.5747347";"7.5747347";"7.5747347";"8.596818";"8.596818";"8.596818";"9.508164";"10.58572";"10.58572"
"23";2019-12-07 12:41:02.249;9.5816956;60;67747;40;9.5816956;-19.684381;"[1.7073383 1.7073383 2.686924  2.686924  3.641532  3.641532  4.74518
 4.74518   4.74518   5.535947  6.6028414 6.6028414 6.6028414 7.6761084
 7.6761084 7.6761084 8.750989  8.750989  9.581696  9.581696 ]";4926938343456901120;5;60;2.4950314;1358562.9;1;51;0.75818253;-27.587936;1;5.1549268;1094;9;1;-7.68979978561401;-12.5155687332153;0.090049996972084;0.0839999988675117;0.049600001424551;0.239600002765656;0.0985499992966652;0.0362000018358231;102.625317171711;12.2133844179258;"1.7073383";"1.7073383";"2.686924";"2.686924";"3.641532";"3.641532";"4.74518";"4.74518";"4.74518";"5.535947";"6.6028414";"6.6028414";"6.6028414";"7.6761084";"7.6761084";"7.6761084";"8.750989";"8.750989";"9.581696";"9.581696"
"24";2019-12-07 12:41:02.246;9.0182505;70;67746;40;9.0182505;-19.636532;"[1.7516556 1.7516556 2.001978  2.001978  3.7270308 3.7270308 3.7270308
 4.74518   4.74518   5.6973877 5.6973877 6.725485  6.725485  6.725485
 7.716262  8.657045  8.657045  8.657045  8.657045  8.657045 ]";4926938343456901120;5;60;2.4739501;1358539.4;1;64;0.75818253;-27.587887;1;5.0849562;1094;6;5;-7.81945896148682;-13.3925085067749;0.090049996972084;0.0840499997138977;0.0480500012636185;0.244949996471405;0.100900001823902;0.0365500003099442;102.625339173323;12.2131733408831;"1.7516556";"1.7516556";"2.001978";"2.001978";"3.7270308";"3.7270308";"3.7270308";"4.74518";"4.74518";"5.6973877";"5.6973877";"6.725485";"6.725485";"6.725485";"7.716262";"8.657045";"8.657045";"8.657045";"8.657045";"8.657045"
"25";2019-12-07 12:41:02.255;10.397923;62;67749;40;11.250572;-19.71723;"[ 1.6804562  1.6804562  1.6804562  2.3880978  3.6662102  4.4974127
  4.4974127  5.735214   5.735214   6.77446    6.77446    6.77446
  6.77446    7.776658   7.776658   7.776658   8.692173   8.692173
 10.3979225 10.3979225]";4926938343456901120;5;60;2.7709053;1358602.1;1;53;0.77806091;-27.588045;1;5.4428263;1094;9;5;-8.46481990814209;-14.0807981491089;0.0881500020623207;0.0816499963402748;0.0456999987363815;0.257099986076355;0.093800000846386;0.0326999984681606;102.62527979197;12.2137370698833;"1.6804562";"1.6804562";"1.6804562";"2.3880978";"3.6662102";"4.4974127";"4.4974127";"5.735214";"5.735214";"6.77446";"6.77446";"6.77446";"6.77446";"7.776658";"7.776658";"7.776658";"8.692173";"8.692173";"10.3979225";"10.3979225"
"26";2019-12-07 12:41:02.252;10.397923;63;67748;40;11.250572;-19.713396;"[ 1.6934319  1.6934319  1.6934319  3.34136    3.34136    4.6818695
  4.6818695  5.535947   6.7491064  6.7491064  6.7491064  7.776658
  7.776658   7.776658   7.776658   8.750989   8.750989   8.750989
 10.3979225 10.3979225]";4926938343456901120;5;60;2.7568495;1358582.9;1;52;0.77806091;-27.587936;1;5.7092743;1094;11;1;-8.17949867248535;-13.0196104049683;0.0892499983310699;0.0816999971866608;0.0470499992370605;0.241099998354912;0.0939999967813492;0.0337000004947186;102.625298248746;12.213563820883;"1.6934319";"1.6934319";"1.6934319";"3.34136";"3.34136";"4.6818695";"4.6818695";"5.535947";"6.7491064";"6.7491064";"6.7491064";"7.776658";"7.776658";"7.776658";"7.776658";"8.750989";"8.750989";"8.750989";"10.3979225";"10.3979225"
"27";2019-12-07 12:41:02.237;9.6474142;81;67743;122;10.719805;-19.367046;"[1.5311222 1.5311222 1.5311222 2.5315666 2.5315666 2.5315666 2.5315666
 2.5315666 3.2609987 3.2609987 4.162387  4.162387  5.271844  6.464469
 7.556135  7.556135  8.463187  8.463187  9.374164  9.374164 ]";4926938343456901120;5;60;2.7945018;1358478.5;1;70;0.55859566;-27.587725;1;4.1461253;1094;11;5;-8.50368690490723;-13.8881940841675;0.089699998497963;0.0837500020861626;0.0483000017702579;0.25025001168251;0.108199998736382;0.0381500013172626;102.62539520809;12.2126252783446;"1.5311222";"1.5311222";"1.5311222";"2.5315666";"2.5315666";"2.5315666";"2.5315666";"2.5315666";"3.2609987";"3.2609987";"4.162387";"4.162387";"5.271844";"6.464469";"7.556135";"7.556135";"8.463187";"8.463187";"9.374164";"9.374164"
"28";2019-12-07 12:41:02.235;12.000969;89;67742;122;12.000969;-18.973442;"[ 1.5113735  1.5113735  1.5113735  2.5315666  2.5315666  2.5315666
  2.5315666  2.5315666  3.4735985  3.4735985  3.4735985  4.5378323
  4.5378323  4.5378323  7.5090017  8.463187   9.529934   9.529934
 10.282546  10.282546 ]";4926938343456901120;5;60;3.1336915;1358462.2;1;82;0.55859566;-27.587669;1;4.2507544;1094;7;5;-8.23311042785645;-14.1862373352051;0.091499999165535;0.0860999971628189;0.0485499985516071;0.254299998283386;0.11235000193119;0.0397999994456768;102.625410285524;12.2124791193465;"1.5113735";"1.5113735";"1.5113735";"2.5315666";"2.5315666";"2.5315666";"2.5315666";"2.5315666";"3.4735985";"3.4735985";"3.4735985";"4.5378323";"4.5378323";"4.5378323";"7.5090017";"8.463187";"9.529934";"9.529934";"10.282546";"10.282546"
"29";2019-12-07 12:41:02.243;8.6570454;74;67745;40;8.7654734;-19.520565;"[1.5668755 1.5668755 1.5668755 1.5668755 2.5917034 2.5917034 2.5917034
 3.7163172 3.7163172 4.6877136 4.6877136 5.6973877 5.6973877 6.710477
 7.716262  7.716262  8.657045  8.657045  8.657045  8.657045 ]";4926938343456901120;5;60;2.6205952;1358523.4;1;69;0.72317505;-27.587831;1;4.4348364;1094;5;5;-7.81945896148682;-13.3925085067749;0.090049996972084;0.0840499997138977;0.0480500012636185;0.244949996471405;0.100900001823902;0.0365500003099442;102.625353931589;12.2130296474372;"1.5668755";"1.5668755";"1.5668755";"1.5668755";"2.5917034";"2.5917034";"2.5917034";"3.7163172";"3.7163172";"4.6877136";"4.6877136";"5.6973877";"5.6973877";"6.710477";"7.716262";"7.716262";"8.657045";"8.657045";"8.657045";"8.657045"
"30";2019-12-07 12:41:02.24;9.3741636;68;67744;40;9.3741636;-19.556881;"[1.6740303 1.6740303 1.6740303 1.6740303 1.6740303 2.5917034 2.5917034
 2.5917034 2.5917034 3.7163172 4.212487  5.6427517 5.6427517 5.6427517
 6.2509613 7.5811157 7.5811157 8.713036  8.713036  8.713036 ]";4926938343456901120;5;60;2.6625638;1358501.1;1;60;0.72317505;-27.587725;1;4.190917;1094;8;4;-9.18052387237549;-14.268310546875;0.0895500034093857;0.0834000036120415;0.0480999983847141;0.245550006628036;0.102799996733665;0.0375999994575977;102.625374841222;12.2128289248851;"1.6740303";"1.6740303";"1.6740303";"1.6740303";"1.6740303";"2.5917034";"2.5917034";"2.5917034";"2.5917034";"3.7163172";"4.212487";"5.6427517";"5.6427517";"5.6427517";"6.2509613";"7.5811157";"7.5811157";"8.713036";"8.713036";"8.713036"
